"year","mean flow [cms]","site_no"
2016,39.7515912481993,"05435500"
2017,50.1323315155879,"05435500"
2018,42.5237573036473,"05435500"
2019,75.6703715372069,"05435500"
2020,61.573667165333,"05435500"
2021,32.0433433507953,"05435500"
1979,156.509149389705,"05437500"
1980,112.995822275928,"05437500"
1981,117.611887931274,"05437500"
1982,167.625645050439,"05437500"
1983,169.430940981943,"05437500"
1984,137.039610106512,"05437500"
1985,159.307474454138,"05437500"
1986,199.875041946317,"05437500"
1987,150.149883918909,"05437500"
1988,109.894121808933,"05437500"
1989,70.8973925258641,"05437500"
1990,91.7970870755722,"05437500"
1991,108.970207062761,"05437500"
1992,133.617604328133,"05437500"
1993,268.555419352516,"05437500"
1994,137.079913760742,"05437500"
1995,107.286712360843,"05437500"
1996,177.801168875194,"05437500"
1997,151.321347974161,"05437500"
1998,150.066097085818,"05437500"
1999,170.848334908397,"05437500"
2000,152.565133496683,"05437500"
2001,156.890069158664,"05437500"
2002,146.831770167708,"05437500"
2003,83.1891536814993,"05437500"
2004,159.160018700142,"05437500"
2005,109.742907856822,"05437500"
2006,103.623365825147,"05437500"
2007,175.614098942446,"05437500"
2008,278.258662947549,"05437500"
2009,202.506569148578,"05437500"
2010,219.487367321664,"05437500"
2011,164.79085719753,"05437500"
2012,97.167014629568,"05437500"
2013,174.926736589497,"05437500"
2014,146.854268484001,"05437500"
2015,113.103690828578,"05437500"
2016,168.718114876061,"05437500"
2017,239.641979700071,"05437500"
2018,210.256075405475,"05437500"
2019,303.980957865746,"05437500"
2020,263.386129129377,"05437500"
2021,135.21875994051,"05437500"
1979,38.8303095723597,"05440000"
1980,21.3755053235817,"05440000"
1981,19.7542199287944,"05440000"
1982,25.5501741078561,"05440000"
1983,40.1331948269229,"05440000"
1984,22.9026034482401,"05440000"
1985,22.1591347797057,"05440000"
1986,33.0795847670869,"05440000"
1987,25.0425655440471,"05440000"
1988,25.1653979994551,"05440000"
1989,13.4363048117369,"05440000"
1990,25.7674768110853,"05440000"
1991,26.1417246655579,"05440000"
1992,19.8698382547817,"05440000"
1993,55.3726233189359,"05440000"
1994,20.6547732237193,"05440000"
1995,24.6759205688735,"05440000"
1996,35.2050353005072,"05440000"
1997,24.5835223112705,"05440000"
1998,24.8891115108492,"05440000"
1999,36.1235293811182,"05440000"
2000,25.7793938813727,"05440000"
2001,24.8433390742533,"05440000"
2002,27.3934068554544,"05440000"
2003,9.67786797852311,"05440000"
2004,23.4060398398275,"05440000"
2005,12.3118544794969,"05440000"
2006,10.8294714511167,"05440000"
2007,39.1230204253707,"05440000"
2008,41.6740420639613,"05440000"
2009,49.2550207972865,"05440000"
2010,39.2507177654333,"05440000"
2011,26.6997604900234,"05440000"
2012,21.0476024321071,"05440000"
2013,26.2573660113035,"05440000"
2014,21.229488834402,"05440000"
2015,23.1963071608094,"05440000"
2016,33.6464482237394,"05440000"
2017,42.8786672787709,"05440000"
2018,36.7243120065402,"05440000"
2019,56.8465733577264,"05440000"
2020,47.7179866581545,"05440000"
2021,17.3600887536235,"05440000"
2000,276.76177719586,"05440700"
2001,183.075781911595,"05440700"
2002,182.03853195009,"05440700"
2003,92.2012033844337,"05440700"
2004,186.004543794514,"05440700"
2005,125.570085466887,"05440700"
2006,125.653872299978,"05440700"
2007,229.572043648963,"05440700"
2008,342.380846286063,"05440700"
2009,285.860503601823,"05440700"
2010,287.422972878166,"05440700"
2011,209.848002496162,"05440700"
2012,136.881004819474,"05440700"
2013,211.844922018161,"05440700"
2014,183.88106647408,"05440700"
2015,145.737110709456,"05440700"
2016,225.06322335944,"05440700"
2017,297.052252251537,"05440700"
2018,266.443680837022,"05440700"
2019,390.424143887212,"05440700"
2020,328.08625466017,"05440700"
2021,164.474329161409,"05440700"
1979,229.076304886509,"05443500"
1980,157.677639529585,"05443500"
1981,163.065469079066,"05443500"
1982,218.751905120088,"05443500"
1983,245.236302416908,"05443500"
1984,175.131957946999,"05443500"
1985,209.463979511162,"05443500"
1986,262.742319904831,"05443500"
1987,175.878049943247,"05443500"
1988,122.343331701007,"05443500"
1989,111.448760427756,"05443500"
1990,199.246064283006,"05443500"
1991,156.39588200423,"05443500"
1992,168.267056913413,"05443500"
1993,367.900226061957,"05443500"
1994,184.165786545787,"05443500"
1995,176.509376770102,"05443500"
1996,258.310759944171,"05443500"
1997,202.107030083377,"05443500"
1998,202.089962395154,"05443500"
1999,237.463522039708,"05443500"
2000,214.080000653163,"05443500"
2001,213.9907959101,"05443500"
2002,204.358413320689,"05443500"
2003,103.484496907339,"05443500"
2004,193.011802744271,"05443500"
2005,127.422705443008,"05443500"
2006,134.513554095329,"05443500"
2007,250.18282878531,"05443500"
